"REF_DATE","GEO","DGUID","Value and volume","Type of beverage","Type of product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","130710","","","","0"
"2012","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","143615","","","","0"
"2013","Canada","","Value in dollars","Rum","Import products","Dollars","81","thousands","3","v20856600","1.1.7.3","179228","","","","0"
"1993","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1092811","","","","0"
"1994","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1068846","","","","0"
"1995","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1034271","","","","0"
"1996","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1007598","","","","0"
"1997","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1016075","","","","0"
"1998","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1056415","","","","0"
"1999","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1058909","","","","0"
"2000","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1110823","","","","0"
"2001","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1119441","","","","0"
"2002","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1131289","","","","0"
"2003","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","940029","","","","0"
"2004","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1187821","","","","0"
"2005","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1214544","","","","0"
"2006","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1256476","","","","0"
"2007","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1294231","","","","0"
"2008","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1310653","","","","0"
"2009","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1335899","","","","0"
"2010","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1333092","","","","0"
"2011","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1368542","","","","0"
"2012","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1432219","","","","0"
"2013","Canada","","Value in dollars","Whisky","Total products","Dollars","81","thousands","3","v20856618","1.1.8.1","1468238","","","","0"
"1993","Canada","","Value in dollars","Whisky","Canadian products","Dollars","81","thousands","3","v20856584","1.1.8.2","849521","","","","0"
