"REF_DATE","GEO","DGUID","Age","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007/2008","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10980","","","","0"
"2008/2009","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10602","","","","0"
"2009/2010","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10398","","","","0"
"2010/2011","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10101","","","","0"
"2011/2012","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10152","","","","0"
"2012/2013","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10080","","","","0"
"2013/2014","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10020","","","","0"
"2014/2015","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","9822","","","","0"
"2015/2016","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","9966","","","","0"
"2016/2017","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10125","","","","0"
"2017/2018","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10053","","","","0"
"2018/2019","Saskatchewan","2016A000247","Total, age","Total, sex","Number","223","units","0","v65926908","9.1.1","10203","","","","0"
"2002/2003","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","30342","","","","0"
"2003/2004","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","31044","","","","0"
"2004/2005","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","30801","","","","0"
"2005/2006","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","31176","","","","0"
"2006/2007","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","32187","","","","0"
"2007/2008","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","32382","","","","0"
"2008/2009","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","32646","","","","0"
"2009/2010","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","33441","","","","0"
"2010/2011","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","35631","","","","0"
"2011/2012","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","35745","","","","0"
"2012/2013","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","35979","","","","0"
"2013/2014","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","36339","","","","0"
"2014/2015","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","36453","","","","0"
"2015/2016","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","38016","","","","0"
"2016/2017","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","38400","","","","0"
"2017/2018","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","38688","","","","0"
"2018/2019","Alberta","2016A000248","Total, age","Total, sex","Number","223","units","0","v65926932","10.1.1","38793","","","","0"
"2002/2003","British Columbia","2016A000259","Total, age","Total, sex","Number","223","units","0","v65926956","11.1.1","40971","","","","0"
