"REF_DATE","GEO","DGUID","Type of sales","Type of beverage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Manitoba","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463304","8.2.1","8.0","","","","1"
"1990","Manitoba","","Total per capita sales","Spirits","Litres","203","units ","0","v28463305","8.2.2","3.0","","","","1"
"1990","Manitoba","","Total per capita sales","Wine","Litres","203","units ","0","v28463306","8.2.3","0.7","","","","1"
"1990","Manitoba","","Total per capita sales","Beer","Litres","203","units ","0","v28463307","8.2.4","4.3","","","","1"
"1990","Saskatchewan","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463308","9.1.1","5755","","","","0"
"1990","Saskatchewan","","Total sales","Spirits","Litres","203","thousands","3","v28463309","9.1.2","2427","","","","0"
"1990","Saskatchewan","","Total sales","Wine","Litres","203","thousands","3","v28463310","9.1.3","430","","","","0"
"1990","Saskatchewan","","Total sales","Beer","Litres","203","thousands","3","v28463311","9.1.4","2898","","","","0"
"1990","Saskatchewan","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463312","9.2.1","7.5","","","","1"
"1990","Saskatchewan","","Total per capita sales","Spirits","Litres","203","units ","0","v28463313","9.2.2","3.2","","","","1"
"1990","Saskatchewan","","Total per capita sales","Wine","Litres","203","units ","0","v28463314","9.2.3","0.6","","","","1"
"1990","Saskatchewan","","Total per capita sales","Beer","Litres","203","units ","0","v28463315","9.2.4","3.8","","","","1"
"1990","Alberta","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463316","10.1.1","17826","","","","0"
"1990","Alberta","","Total sales","Spirits","Litres","203","thousands","3","v28463317","10.1.2","7133","","","","0"
"1990","Alberta","","Total sales","Wine","Litres","203","thousands","3","v28463318","10.1.3","2051","","","","0"
"1990","Alberta","","Total sales","Beer","Litres","203","thousands","3","v28463319","10.1.4","8642","","","","0"
"1990","Alberta","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463320","10.2.1","9.2","","","","1"
"1990","Alberta","","Total per capita sales","Spirits","Litres","203","units ","0","v28463321","10.2.2","3.7","","","","1"
"1990","Alberta","","Total per capita sales","Wine","Litres","203","units ","0","v28463322","10.2.3","1.1","","","","1"
"1990","Alberta","","Total per capita sales","Beer","Litres","203","units ","0","v28463323","10.2.4","4.4","","","","1"
"1990","British Columbia","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463324","11.1.1","24956","","","","0"
"1990","British Columbia","","Total sales","Spirits","Litres","203","thousands","3","v28463325","11.1.2","7975","","","","0"
"1990","British Columbia","","Total sales","Wine","Litres","203","thousands","3","v28463326","11.1.3","4634","","","","0"
"1990","British Columbia","","Total sales","Beer","Litres","203","thousands","3","v28463327","11.1.4","12347","","","","0"
"1990","British Columbia","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463328","11.2.1","9.5","","","","1"
"1990","British Columbia","","Total per capita sales","Spirits","Litres","203","units ","0","v28463329","11.2.2","3.0","","","","1"
"1990","British Columbia","","Total per capita sales","Wine","Litres","203","units ","0","v28463330","11.2.3","1.8","","","","1"
"1990","British Columbia","","Total per capita sales","Beer","Litres","203","units ","0","v28463331","11.2.4","4.7","","","","1"
